    30ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      13KB · t=97.1s
    30ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      13KB · t=97.2s
    30ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      26KB · t=97.9s
    31ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      13KB · t=98.0s
    37ms · Update    1 · Late   23 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   13 · 야생 26(0) · GC      77KB · t=99.2s
    35ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    9 · 야생 26(0) · GC      46KB · t=99.3s
    34ms · Update    1 · Late   22 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   11 · 야생 26(0) · GC      70KB · t=99.5s
    31ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      18KB · t=99.6s
    35ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   10 · 야생 26(0) · GC      60KB · t=99.6s
    34ms · Update    1 · Late   22 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   11 · 야생 26(0) · GC      71KB · t=99.7s
    31ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=100.9s
    31ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=105.7s
    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=106.4s
    51ms · Update   46 · Late    0 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC    1347KB · t=107.0s
    33ms · Update    1 · Late   28 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=107.5s
    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=112.2s
    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=112.8s
    30ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=114.7s
    40ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   14 · 야생 26(0) · GC     120KB · t=116.1s
    30ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=116.1s
    35ms · Update    1 · Late   29 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=116.5s
